Flame Type,Day,Fuel,Test,Xfuel,mfuel (mg/s),mN2 (mg/s),mtot (mg/s),XO2 (init),XO2 (final),pinit (atm),pfinal (atm),pmean (atm),mean Zst,Tad (K)
Normal,13,C3H8,21301D2,0.167,1,3.168887189,4.168887189,0.4,,0.931972789,,,0.331866302,2523.97951
Normal,13,C3H8,21301A7,1,1.2,0,1.2,0.4,,0.931972789,,,0.106461571,2734.953406
Normal,13,C3H8,21301A8,1,1.3,0,1.3,0.4,,0.931972789,,,0.106461571,2734.953406
Normal,13,C3H8,21301A9,1,1.45,0,1.45,0.4,,0.931972789,,,0.106461571,2734.953406
Normal,13,C3H8,21301H1,1,1.4,0,1.4,0.4,,0.931972789,,,0.106461571,2734.953406
Normal,13,C3H8,21301H2,1,0.95,0,0.95,0.4,,0.931972789,,,0.106461571,2734.953406
Normal,13,C3H8,21301H3,1,1.05,0,1.05,0.4,,0.931972789,,,0.106461571,2734.953406
Normal,13,C3H8,21301J1,0.1,0.55,3.144730606,3.694730606,0.4,,0.931972789,,,0.444563692,2357.78851
Normal,13,C3H8,21301J2,0.111,0.6,3.052869788,3.652869788,0.4,,0.931972789,,,0.420415848,2398.666876
Normal,13,C3H8,21301J3,0.125,0.65,2.890610961,3.540610961,0.4,,0.931972789,,,0.393571748,2440.404887
Normal,13,C3H8,21301J4,0.1,0.65,3.716499807,4.366499807,0.4,,0.931972789,,,0.444563692,2357.78851
