axis,index,coordinate
x,0,0.0
x,1,0.046202898558499406
x,2,0.09227826703359149
x,3,0.1382266184425313
x,4,0.18404846438833122
x,5,0.22974431506545262
x,6,0.275314679265485
x,7,0.3207600643828172
x,8,0.36608097642027443
x,9,0.4112779199947704
x,10,0.45635139834291233
x,11,0.5013019133266045
x,12,0.546129965438643
x,13,0.5908360538082827
x,14,0.6354206762067985
x,15,0.6798843290530278
x,16,0.7242275074188859
x,17,0.7684507050349036
x,18,0.812554414295701
x,19,0.8565391262654776
x,20,0.9004053306834805
x,21,0.944153515969461
x,22,0.987784169229107
x,23,1.031297776259468
x,24,1.0746948215543648
x,25,1.1179757883097887
x,26,1.1611411584292708
x,27,1.2041914125292603
x,28,1.247127029944463
x,29,1.2899484887331867
x,30,1.332656265682666
x,31,1.3752508363143576
x,32,1.4177326748892596
x,33,1.4601022544131654
x,34,1.5023600466419413
x,35,1.5445065220867864
x,36,1.5865421500194583
x,37,1.6284673984775095
x,38,1.67028273426949
x,39,1.7119886229801464
x,40,1.7535855289756186
x,41,1.7950739154085904
x,42,1.8364542442234562
x,43,1.8777269761614654
x,44,1.9188925707658513
x,45,1.9599514863869454
x,46,2.0009041801872853
x,47,2.0417511081466992
x,48,2.0824927250673895
x,49,2.123129484578993
x,50,2.163661839143631
x,51,2.2040902400609435
x,52,2.244415137473128
x,53,2.284636980369934
x,54,2.3247562165936757
x,55,2.3647732928442076
x,56,2.4046886546839157
x,57,2.4445027465426503
x,58,2.484216011722702
x,59,2.523828892403727
x,60,2.563341829647659
x,61,2.602755263403641
x,62,2.642069632512912
x,63,2.6812853747136915
x,64,2.7204029266460603
x,65,2.7594227238568125
x,66,2.798345200804323
x,67,2.8371707908633614
x,68,2.8758999263299354
x,69,2.9145330384260926
x,70,2.9530705573047333
x,71,2.9915129120543904
x,72,3.029860530704012
x,73,3.068113840227719
x,74,3.106273266549574
x,75,3.1443392345483128
x,76,3.182312168062075
x,77,3.2201924898931242
x,78,3.2579806218125675
x,79,3.29567698456503
x,80,3.3332819978733563
x,81,3.3707960804432737
x,82,3.4082196499680677
x,83,3.4455531231332137
x,84,3.4827969156210346
x,85,3.5199514421153126
x,86,3.5570171163059277
x,87,3.593994350893437
x,88,3.6308835575936937
x,89,3.6676851471424197
x,90,3.7043995292997756
x,91,3.741027112854937
x,92,3.777568305630629
x,93,3.814023514487678
x,94,3.8503931453295435
x,95,3.886677603106828
x,96,3.9228772918217922
x,97,3.9589926145328502
x,98,3.995023973359066
x,99,4.0309717694846166
x,100,4.066836403163268
x,101,4.102618273722835
x,102,4.138317779569616
x,103,4.173935318192839
x,104,4.209471286169082
x,105,4.244926079166694
x,106,4.280300091950194
x,107,4.315593718384666
x,108,4.350807351440154
x,109,4.38594138319603
x,110,4.42099620484536
x,111,4.455972206699257
x,112,4.490869778191234
x,113,4.525689307881537
x,114,4.560431183461469
x,115,4.595095791757708
x,116,4.629683518736616
x,117,4.664194749508533
x,118,4.698629868332065
x,119,4.732989258618373
x,120,4.767273302935423
x,121,4.801482383012263
x,122,4.83561687974326
x,123,4.869677173192352
x,124,4.903663642597275
x,125,4.937576666373784
x,126,4.971416622119865
x,127,5.005183886619946
x,128,5.03887883584909
x,129,5.072501844977176
x,130,5.106053288373081
x,131,5.139533539608844
x,132,5.172942971463837
x,133,5.2062819559289
x,134,5.239550864210493
x,135,5.272750066734823
x,136,5.305879933151979
x,137,5.338940832340033
x,138,5.37193313240916
x,139,5.404857200705727
