test_id,flex_identifier,test_date,test_gmt,fuel,pressure_mmhg,o2_frac,n2_frac,co2_frac,he_frac,d0_mm,dext_mm,burning_rate_mm2_s,burn_time_s,test_end,burn_time_s_approx,pressure_atm,extinction,investigation,source,gravity
257,H12M201,11/18/11,21:53:16,Methanol,531.2,0.21,0.49,0.0,0.3,2.67,1.42,0.7,7.6,Extinction,False,0.6989473684210527,1,PSI-69,experiment,microgravity
258,H12H101,11/22/11,13:04:17,Heptane,529.6,0.21,0.49,0.0,0.3,3.23,2.33,0.67,7.5,Extinction,False,0.6968421052631579,1,PSI-69,experiment,microgravity
259,H12H201,11/22/11,15:49:36,Heptane,529.0,0.21,0.49,0.0,0.3,2.86,0.71,0.7,11.0,Extinction,False,0.6960526315789474,1,PSI-69,experiment,microgravity
260,H13H101,11/22/11,20:40:42,Heptane,532.5,0.2,0.45,0.0,0.35,3.69,3.32,0.61,4.3,Extinction,False,0.7006578947368421,1,PSI-69,experiment,microgravity
261,H13H201,11/22/11,20:58:21,Heptane,532.0,0.2,0.45,0.0,0.35,3.08,1.69,0.67,5.4,Extinction,False,0.7,1,PSI-69,experiment,microgravity
262,H13M102,11/28/11,13:13:31,Methanol,527.6,0.2,0.45,0.0,0.35,3.87,2.24,0.6,17.4,Extinction,False,0.6942105263157895,1,PSI-69,experiment,microgravity
263,H13M201,11/28/11,13:24:55,Methanol,527.9,0.2,0.45,0.0,0.35,2.95,1.5,0.63,10.6,Extinction,False,0.6946052631578947,1,PSI-69,experiment,microgravity
264,H14M101,11/28/11,15:07:28,Methanol,532.4,0.18,0.42,0.0,0.4,3.5,2.67,0.59,7.8,Extinction,False,0.7005263157894737,1,PSI-69,experiment,microgravity
265,H14M201,11/28/11,15:35:38,Methanol,532.9,0.18,0.42,0.0,0.4,2.7,1.92,0.63,5.9,Extinction,False,0.7011842105263157,1,PSI-69,experiment,microgravity
266,H14M202,11/28/11,15:54:09,Methanol,533.2,0.18,0.42,0.0,0.4,1.84,1.3,0.62,2.3,Extinction,False,0.7015789473684211,1,PSI-69,experiment,microgravity
267,H14H101,11/30/11,8:39:18,Heptane,528.0,0.18,0.42,0.0,0.4,2.27,1.64,0.71,3.5,Extinction,False,0.6947368421052632,1,PSI-69,experiment,microgravity
268,H14H201,11/30/11,9:49:07,Heptane,530.3,0.18,0.42,0.0,0.4,1.86,0.84,0.77,3.5,Extinction,False,0.6977631578947368,1,PSI-69,experiment,microgravity
269,H15H101,11/30/11,11:30:51,Heptane,532.2,0.17,0.38,0.0,0.45,2.22,1.86,0.76,1.9,Extinction,False,0.7002631578947369,1,PSI-69,experiment,microgravity
270,H15H201,11/30/11,12:09:00,Heptane,532.5,0.17,0.38,0.0,0.45,1.61,0.91,1.06,1.4,Completion,False,0.7006578947368421,0,PSI-69,experiment,microgravity
271,H15M102,12/5/2011,22:54:10,Methanol,530.4,0.17,0.38,0.0,0.45,2.79,2.3,0.63,4.0,Extinction,False,0.6978947368421052,1,PSI-69,experiment,microgravity
272,H15M201,12/5/2011,23:39:04,Methanol,531.5,0.17,0.38,0.0,0.45,2.68,2.31,0.66,2.9,Extinction,False,0.6993421052631579,1,PSI-69,experiment,microgravity
273,H19H101,12/8/2011,22:29:44,Heptane,764.7,0.21,0.64,0.0,0.15,3.54,2.91,0.55,7.6,Extinction,False,1.006184210526316,1,PSI-69,experiment,microgravity
274,H19H201,12/8/2011,23:41:45,Heptane,766.2,0.21,0.64,0.0,0.15,2.82,0.73,0.65,11.7,Extinction,False,1.0081578947368421,1,PSI-69,experiment,microgravity
