fuel,d0_mm,pressure_atm,xo2,measurement,value,source,error_bar_side,data_file,doi,figure,investigation,gravity
n-dodecane,4.5,5.0,0.21,k_cool_mm2_s,0.501739795,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,5.0,0.21,k_cool_mm2_s,0.527320312,experiment,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,5.0,0.21,k_burn_mm2_s,0.5012,simulation,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,3.0,0.21,k_burn_mm2_s,0.48689,simulation,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,1.25,0.21,k_burn_mm2_s,0.471387695,simulation,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,1.0,0.21,k_burn_mm2_s,0.447921,simulation,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,0.75,0.21,k_burn_mm2_s,0.4078,simulation,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-dodecane,4.5,0.5,0.21,k_burn_mm2_s,0.37396,simulation,,MST_2024_Kavg.csv,10.1007/s12217-024-10115-x,Fig. 4,PSI-117,microgravity
n-heptane,3.91,1.0,0.21,dext_hot_mm,3.28,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,3.557,1.0,0.21,dext_hot_mm,2.794,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,3.61,1.0,0.21,dext_hot_mm,2.838,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,3.342,1.0,0.21,dext_hot_mm,2.326,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,3.891,1.0,0.21,dext_hot_mm,3.412,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,3.91,1.0,0.21,dext_cool_mm,1.3,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,3.557,1.0,0.21,dext_cool_mm,1.214,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,3.61,1.0,0.21,dext_cool_mm,1.146,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,3.342,1.0,0.21,dext_cool_mm,1.101,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,3.891,1.0,0.21,dext_cool_mm,1.199,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,2.0,1.0,0.21,dext_hot_mm,0.0,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
