Time(sec),Diameter(mm),K(mm^2/sec),T_max(K),D_Tmax/D_drop,D_OHm/D_drop,(D/Do)2
0.692348,0.284778,0.249198,675.991,14.2838,54.5057,0.3244
0.693702,0.284186,0.248906,675.924,14.2228,54.6366,0.323
0.695056,0.283593,0.248623,675.924,14.1544,54.7728,0.3217
0.69641,0.282999,0.248377,675.976,14.0869,54.9083,0.3204
0.697764,0.282404,0.248168,676.096,13.9943,55.0521,0.319
0.699118,0.281809,0.248015,676.274,13.8918,55.1831,0.3177
0.700472,0.281213,0.247871,676.519,13.779,55.3283,0.3163
0.701826,0.280615,0.247788,676.861,13.657,55.462,0.315
0.70318,0.280017,0.247744,677.301,13.5206,55.5911,0.3136
0.704533,0.279417,0.247739,677.836,13.3595,55.7258,0.3123
0.705887,0.278817,0.24779,678.496,13.1894,55.8531,0.311
0.707241,0.278214,0.247902,679.309,13.0217,55.9935,0.3096
0.708595,0.27761,0.248074,680.269,12.8198,56.1279,0.3083
0.709949,0.277004,0.24832,681.459,12.6116,56.2621,0.3069
0.711303,0.276396,0.248651,682.866,12.3817,56.3963,0.3056
0.712657,0.275786,0.249083,684.584,12.1326,56.5314,0.3042
0.714011,0.275173,0.249636,686.678,11.8489,56.6673,0.3029
0.715365,0.274558,0.250336,689.344,11.5421,56.8042,0.3015
0.716719,0.273939,0.251222,692.709,11.2026,56.9423,0.3002
0.717779,0.273451,0.252086,696.031,10.8955,57.0515,0.2991
0.7199,0.272468,0.254459,705.694,10.1812,57.2741,0.297
0.721247,0.271835,0.256669,715.656,9.59864,57.4192,0.2956
0.724437,0.270298,0.267879,753.442,7.60793,57.7799,0.2922
0.724672,0.270182,0.26948,754.169,7.51535,57.807,0.292
0.724907,0.270064,0.271259,754.362,7.44986,57.8341,0.2917
0.725118,0.269958,0.273003,754.2,7.41268,57.8586,0.2915
0.72533,0.26985,0.274843,753.779,7.39541,57.8832,0.2913
0.725541,0.269742,0.276738,753.151,7.39785,57.9079,0.291
0.725964,0.269524,0.280468,751.468,7.45269,57.9577,0.2906
0.730983,0.266824,0.287806,726.348,9.35468,58.5672,0.2848
0.733519,0.265464,0.282704,717.02,10.292,58.8766,0.2819
0.736055,0.264123,0.277759,709.675,11.1125,59.1859,0.279
0.738169,0.263017,0.274072,704.692,11.7304,59.4448,0.2767
0.739859,0.262139,0.271402,701.244,12.1775,59.6532,0.2749
0.74155,0.261266,0.268959,698.185,12.5889,59.8635,0.273
0.743664,0.260182,0.26619,694.837,13.0692,60.1295,0.2708
0.744932,0.259534,0.264664,693.042,13.341,60.2911,0.2694
0.746728,0.25862,0.262654,690.692,13.6866,60.523,0.2675
0.747785,0.258084,0.261548,689.441,13.8895,60.6613,0.2664
0.749898,0.257015,0.259472,687.108,14.252,60.9423,0.2642
0.751589,0.256163,0.257935,685.431,14.5331,61.1768,0.2625
0.753106,0.2554,0.256641,684.03,14.7632,61.3887,0.2609
0.754622,0.254638,0.255429,682.719,14.975,61.5993,0.2594
0.756139,0.253878,0.254277,681.515,15.1866,61.8087,0.2578
0.757655,0.253119,0.253187,680.381,15.3779,62.017,0.2563
0.759172,0.252361,0.252152,679.313,15.5506,62.2243,0.2547
0.760689,0.251604,0.251177,678.319,15.7158,62.4309,0.2532
0.763722,0.250091,0.249368,676.524,16.0175,62.8419,0.2502
0.766755,0.248579,0.247737,674.932,16.2631,63.2511,0.2472
0.769788,0.247068,0.246262,673.531,16.4659,63.6594,0.2442
0.772822,0.245556,0.244919,672.317,16.6381,64.0679,0.2412
0.775855,0.244042,0.243704,671.261,16.7653,64.478,0.2382
0.778888,0.242526,0.242608,670.357,16.8493,64.8898,0.2353
0.781921,0.241007,0.241643,669.603,16.8921,65.3068,0.2323
0.784955,0.239485,0.240766,668.997,16.8947,65.7273,0.2294
0.787988,0.237958,0.240005,668.54,16.8552,66.153,0.2265
0.791021,0.236425,0.239361,668.237,16.7703,66.5866,0.2236
0.794054,0.234886,0.238828,668.121,16.6629,67.0287,0.2207
0.797088,0.23334,0.238414,668.186,16.508,67.4806,0.2178
0.800121,0.231786,0.238139,668.445,16.2978,67.944,0.2149
0.803154,0.230223,0.238002,668.968,16.0617,68.4205,0.212
0.806187,0.22865,0.238023,669.767,15.7623,68.9173,0.2091
0.80922,0.227065,0.238236,670.951,15.4252,69.43,0.2062
0.812254,0.225466,0.238678,672.601,15.016,69.9443,0.2033
0.815287,0.223853,0.23942,674.906,14.535,70.4627,0.2004
0.81832,0.222221,0.240563,678.195,13.9698,70.9877,0.1975
0.820489,0.221041,0.241715,681.449,13.4878,71.369,0.1954
0.822266,0.220065,0.242962,685.005,13.0377,71.6861,0.1937
0.823735,0.219251,0.24427,688.862,12.612,71.9523,0.1923
0.825204,0.218428,0.245941,694.002,12.1118,72.223,0.1908
0.82708,0.217363,0.24889,703.896,11.3271,72.577,0.189
0.828678,0.21644,0.252693,718.434,10.4303,72.8885,0.1874
0.831208,0.214927,0.265967,755.325,8.34019,73.4099,0.1848
0.831404,0.214804,0.267861,755.989,8.24767,73.4518,0.1846
0.831601,0.214681,0.269914,756.137,8.19069,73.4941,0.1844
0.831778,0.214569,0.271859,755.909,8.1642,73.5323,0.1842
0.831955,0.214457,0.273839,755.41,8.16029,73.5709,0.184
0.832132,0.214343,0.27579,754.693,8.17777,73.6096,0.1838
0.832841,0.213881,0.282283,750.616,8.40141,73.7671,0.183
0.836205,0.211624,0.283691,729.273,10.2789,74.5392,0.1791
0.838331,0.210208,0.278353,719.227,11.3628,75.0295,0.1767
0.840456,0.20881,0.273317,711.322,12.2995,75.5207,0.1744
0.842581,0.207426,0.268911,704.968,13.1357,76.0147,0.1721
0.844706,0.206054,0.265059,699.704,13.8812,76.5136,0.1698
0.846831,0.204691,0.261678,695.281,14.5655,77.0194,0.1676
0.848956,0.203336,0.258678,691.494,15.1971,77.5342,0.1654
0.850698,0.20223,0.25646,688.776,15.6879,77.9644,0.1636
0.852766,0.200921,0.254063,685.891,16.2268,78.4863,0.1615
0.854834,0.199615,0.25188,683.313,16.7225,79.0302,0.1594
0.856902,0.198311,0.249866,681.021,17.2045,79.5846,0.1573
0.85897,0.197009,0.248028,678.938,17.6471,80.1383,0.1553
0.861038,0.195707,0.246304,677.054,18.07,80.6925,0.1532
0.863106,0.194406,0.244712,675.322,18.4594,81.2479,0.1512
0.865174,0.193104,0.243235,673.749,18.8401,81.8056,0.1492
0.867242,0.191801,0.24184,672.285,19.186,82.3663,0.1472
0.868276,0.191149,0.241166,671.594,19.3525,82.6483,0.1462
0.870344,0.189843,0.239888,670.307,19.687,83.2153,0.1442
0.872412,0.188535,0.238699,669.105,19.9913,83.7876,0.1422
0.87448,0.187225,0.237565,667.982,20.2676,84.3665,0.1402
0.875514,0.186568,0.237021,667.45,20.3947,84.6588,0.1392
0.877582,0.185253,0.235986,666.454,20.668,85.2492,0.1373
0.87965,0.183934,0.234998,665.521,20.9216,85.849,0.1353
0.881718,0.18261,0.234074,664.643,21.1514,86.4592,0.1334
0.883786,0.181283,0.233193,663.823,21.3635,87.0811,0.1315
0.886888,0.179282,0.231955,662.689,21.6519,88.039,0.1286
0.888956,0.177941,0.231186,661.999,21.8369,88.6966,0.1267
0.893092,0.175242,0.229774,660.757,22.1747,90.0655,0.1228
0.896595,0.172935,0.228697,659.833,22.4191,91.3026,0.1196
0.900098,0.170607,0.227743,659.02,22.6298,92.5817,0.1164
0.903601,0.168257,0.226868,658.313,22.8086,93.8735,0.1132
0.907103,0.165882,0.226087,657.708,22.9568,95.1878,0.1101
0.910606,0.163481,0.225399,657.203,23.0754,96.5335,0.1069
0.914109,0.161052,0.224812,656.795,23.1651,97.9206,0.1038
0.917612,0.158591,0.224294,656.482,23.2262,99.3597,0.1006
0.921115,0.156097,0.223862,656.265,23.2586,100.861,0.0975
0.924618,0.153566,0.223536,656.153,23.2781,102.439,0.0943
0.92812,0.150997,0.223274,656.147,23.2793,104.107,0.0912
0.931623,0.148386,0.223081,656.244,23.2526,105.887,0.0881
0.935126,0.145729,0.223022,656.448,23.1949,107.82,0.0849
0.938629,0.143023,0.223003,656.771,23.1094,109.852,0.0818
0.942132,0.140264,0.223097,657.235,23.026,111.954,0.0787
0.945635,0.137447,0.223287,657.83,22.9057,114.149,0.0756
0.949137,0.134569,0.223581,658.57,22.7511,116.463,0.0724
0.95264,0.131623,0.22401,659.494,22.6028,118.924,0.0693
0.956143,0.128604,0.224535,660.586,22.4064,121.572,0.0662
0.959646,0.125504,0.225181,661.901,22.2045,124.46,0.063
0.963149,0.122316,0.225955,663.442,21.9635,127.672,0.0598
0.966652,0.119028,0.227052,665.264,21.7099,131.222,0.0567
0.970154,0.11563,0.228246,667.375,21.4116,134.988,0.0535
0.973287,0.112487,0.229513,669.579,21.1513,138.608,0.0506
0.976419,0.109235,0.23097,672.062,20.8484,142.549,0.0477
0.979551,0.105859,0.232656,674.881,20.5582,146.925,0.0448
0.982683,0.102344,0.234531,677.988,20.2678,151.907,0.0419
0.984807,0.0998724,0.235978,680.222,20.0885,155.764,0.0399
0.986932,0.0973217,0.237442,682.488,19.9405,159.834,0.0379
0.989057,0.094686,0.23889,684.696,19.8644,164.173,0.0359
0.990969,0.0922354,0.240156,686.481,19.8617,168.379,0.034
0.992691,0.0899621,0.24114,687.808,19.9466,172.481,0.0324
0.994412,0.0876212,0.241906,688.757,20.1493,176.967,0.0307
0.996133,0.0852097,0.242367,689.234,20.4991,181.948,0.029
0.997854,0.0827252,0.242439,689.179,21.0143,187.584,0.0274
0.999403,0.0804245,0.242153,688.657,21.6249,192.961,0.0259
1.00095,0.0780605,0.241516,687.759,22.4071,198.68,0.0244
1.00234,0.0758821,0.240679,686.677,23.2338,204.203,0.023
1.00373,0.0736483,0.239618,685.413,24.1925,210.21,0.0217
1.00512,0.0713559,0.238364,684.009,25.2504,216.863,0.0204
1.00651,0.0690002,0.237033,682.554,26.4583,224.44,0.019
1.00791,0.0665758,0.235604,681.052,27.7619,232.754,0.0177
1.0093,0.0640753,0.234124,679.553,29.1866,241.688,0.0164
1.01069,0.0614902,0.232609,678.09,30.7733,251.553,0.0151
1.01208,0.0588093,0.231099,676.659,32.4921,262.8,0.0138
1.01347,0.0560188,0.229646,675.28,34.3845,276.223,0.0126
1.01486,0.0531011,0.228191,673.973,36.533,291.484,0.0113
1.01625,0.0500335,0.226749,672.722,38.9392,308.898,0.01
1.01764,0.046786,0.225354,671.53,41.6891,330.121,0.0088
1.01903,4.33E-02,0.223989,670.424,45.0076,357.216,0.0075
1.02028,4.00E-02,0.222753,669.483,48.6002,386.564,0.0064
1.02141,3.67E-02,0.221628,668.682,52.5412,421.271,0.0054
1.02222,3.41E-02,0.220812,668.143,56.0784,453.07,0.0047
1.02304,3.14E-02,0.219865,667.626,60.3767,491.688,0.0039
1.02361,2.93E-02,0.219342,667.281,64.126,526.947,0.0034
1.02408,2.75E-02,0.218815,667.011,67.7012,562.12,0.003
1.02454,2.56E-02,0.218218,666.762,72.0876,603.193,0.0026
1.02501,2.36E-02,0.217666,666.515,77.4398,655.194,0.0022
1.02534,2.20E-02,0.217218,666.355,82.3557,704.815,0.0019
1.02568,2.03E-02,0.216715,666.192,88.3277,764.189,0.0016
1.02598,1.86E-02,0.216234,666.065,95.3452,832.245,0.0014
1.0262,1.73E-02,0.215835,665.969,101.631,898.171,0.0012
1.02638,1.61E-02,0.21548,665.901,108.179,963.794,0.001
1.02656,1.48E-02,0.215009,665.832,116.258,1043.71,0.0009
1.02669,1.38E-02,0.214758,665.785,123.724,1118.4,0.0008
1.0268,1.30E-02,0.214464,665.751,131.048,1195.26,0.0007
1.0269,1.21E-02,0.214089,665.712,139.896,1285.57,0.0006
1.02701,1.11E-02,0.213757,665.685,151.331,1396.97,0.0005
1.02709,1.03E-02,0.213463,665.657,161.6,1501.04,0.0004
1.02716,9.48E-03,0.213114,665.642,174.895,1638.41,0.0004
1.02723,8.67E-03,0.212744,665.619,190.124,1790.9,0.0003
1.02728,8.03E-03,0.212438,665.613,204.349,1927.97,0.0003
1.02732,7.47E-03,0.212154,665.599,218.764,2072.81,0.0002
1.02737,6.87E-03,0.211731,665.595,237.336,2263.78,0.0002
1.0274,6.39E-03,0.211544,665.586,254.02,2429.41,0.0002
1.02742,5.99E-03,0.211287,665.583,270.657,2589.34,0.0001
1.02744,5.55E-03,0.210937,665.579,291.172,2787.25,0.0001
1.02747,5.08E-03,0.210641,665.574,317.325,3052.13,0.0001
1.02748,4.72E-03,0.210356,665.573,341.248,3292.15,0.0001
