GMT date,GMT ignition,GMT  Flame Off ,Fuel,Nozzle (mm),Fuel Rate (sccm),Fuel Rate (mg/s),HC Fuel Rate (mg/s),Air Rate (cm/s)
167,10:12:03,10:13:27,50 % Propylene,1.6002,80.83687943,1.917,1.151,66.48
167,10:12:03,10:13:27,50 % Propylene,1.6002,81.41843972,1.931,1.159,25.11
167,11:04:59,11:09:58,50 % Propylene,0.4064,24.42553191,0.579,0.348,11.95
167,11:04:59,11:09:58,50 % Propylene,0.4064,22.68085106,0.538,0.323,11.95
167,11:04:59,11:09:58,50 % Propylene,0.4064,22.68085106,0.538,0.323,13.83
167,11:04:59,11:09:58,50 % Propylene,0.4064,22.68085106,0.538,0.323,18.53
167,11:04:59,11:09:58,50 % Propylene,0.4064,22.68085106,0.538,0.323,22.29
167,11:04:59,11:09:58,50 % Propylene,0.4064,22.68085106,0.538,0.323,24.17
167,11:04:59,11:09:58,50 % Propylene,0.4064,22.68085106,0.538,0.323,16.65
167,11:04:59,11:09:58,50 % Propylene,0.4064,22.68085106,0.538,0.323,11.95
167,LOS,LOS,50 % Propylene,0.4064,29.07801418,0.69,0.414,-5.92
167,LOS,LOS,50 % Propylene,0.4064,26.17021277,0.621,0.372,-5.92
167,LOS,LOS,50 % Propylene,0.4064,23.26241135,0.552,0.331,-5.92
168,8:50:41,8:52:36,50 % Propylene,0.4064,28.4964539,0.676,0.406,11.01
168,8:50:41,8:52:36,50 % Propylene,0.4064,26.17021277,0.621,0.372,11.01
168,8:50:41,8:52:36,50 % Propylene,0.4064,25.0070922,0.593,0.356,10.07
168,9:03:26,9:06:03,50 % Propylene,0.4064,56.9929078,1.351,0.811,37.33
168,9:49:13,9:50:40,Ethylene,1.6002,90.6,1.72,1.72,36.39
168,9:49:13,9:50:40,Ethylene,1.6002,108.6,2.062,2.062,36.39
168,9:49:13,9:50:40,Ethylene,1.6002,126.6,2.403,2.403,35.45
168,9:52:25,9:52:48,Ethylene,1.6002,57.6,1.094,1.094,38.27
168,9:56:09,9:56:51,Ethylene,1.6002,138.6,2.631,2.631,55.2
168,10:42:48,10:45:01,Methane,0.4064,51.12,0.555,0.555,27.93
168,11:16:48,11:18:15,Methane,0.4064,41.04,0.446,0.446,32.63
168,11:30:21,11:32:19,Methane,0.762,105.12,1.141,1.141,50.49
168,11:41:18,11:42:32,Methane,0.762,34.56,0.375,0.375,55.2
173,10:37:43,10:38:36,75 % Propylene,1.6002,64.4457478,1.682,1.376,61.78
173,10:37:43,10:38:36,75 % Propylene,1.6002,71.65982405,1.87,1.53,58.96
173,10:41:34,10:44:30,75 % Propylene,1.6002,7.214076246,0.188,0.154,51.43
173,10:41:34,10:44:30,75 % Propylene,1.6002,14.42815249,0.376,0.308,
173,10:41:34,10:44:30,75 % Propylene,1.6002,21.64222874,0.565,0.462,
173,10:41:34,10:44:30,75 % Propylene,1.6002,28.85630499,0.753,0.616,
173,10:41:34,10:44:30,75 % Propylene,1.6002,36.07038123,0.941,0.77,
173,10:41:34,10:44:30,75 % Propylene,1.6002,43.28445748,1.129,0.924,
173,10:41:34,10:44:30,75 % Propylene,1.6002,50.49853372,1.318,1.078,
173,10:41:34,10:44:30,75 % Propylene,1.6002,57.71260997,1.506,1.232,
173,10:41:34,10:44:30,75 % Propylene,1.6002,64.92668622,1.694,1.387,50.49
173,11:08:12,11:09:42,75 % Propylene,1.6002,50.49853372,1.318,1.078,58.96
173,11:08:12,11:09:42,75 % Propylene,1.6002,50.97947214,1.33,1.089,55.2
173,11:08:12,11:09:42,75 % Propylene,1.6002,50.49853372,1.318,1.078,47.67
173,11:08:12,11:09:42,75 % Propylene,1.6002,50.01759531,1.305,1.068,42.03
173,11:08:12,11:09:42,75 % Propylene,1.6002,50.49853372,1.318,1.078,36.39
173,11:21:38,11:27:01,75 % Propylene,0.4064,18.75659824,0.489,0.401,11.01
173,11:21:38,11:27:01,75 % Propylene,0.4064,19.23753666,0.502,0.411,23.23
173,11:21:38,11:27:01,75 % Propylene,0.4064,18.75659824,0.489,0.401,35.45
173,11:21:38,11:27:01,75 % Propylene,0.4064,19.23753666,0.502,0.411,50.49
173,11:21:38,11:27:01,75 % Propylene,0.4064,18.75659824,0.489,0.401,54.26
173,11:21:38,11:27:01,75 % Propylene,0.4064,18.75659824,0.489,0.401,58.02
173,11:21:38,11:27:01,75 % Propylene,0.4064,18.75659824,0.489,0.401,56.14
173,11:48:23,11:51:23,75 % Propylene,0.4064,62.04105572,1.619,1.325,12.89
173,11:48:23,11:51:23,75 % Propylene,0.4064,55.30791789,1.443,1.181,12.89
173,11:48:23,11:51:23,75 % Propylene,0.4064,51.94134897,1.355,1.109,12.89
173,11:48:23,11:51:23,75 % Propylene,0.4064,49.05571848,1.28,1.048,12.89
173,11:48:23,11:51:23,75 % Propylene,0.4064,46.65102639,1.217,0.996,12.89
173,12:00:14,12:02:05,75 % Propylene,0.4064,46.65102639,1.217,0.996,28.87
173,12:00:14,12:02:05,75 % Propylene,0.4064,42.80351906,1.117,0.914,27.93
173,12:00:14,12:02:05,75 % Propylene,0.4064,40.8797654,1.067,0.873,27.93
173,12:00:14,12:02:05,75 % Propylene,0.4064,38.47507331,1.004,0.822,27.93
173,12:00:14,12:02:05,75 % Propylene,0.4064,36.07038123,0.941,0.77,26.99
173,12:11:46,12:15:20,75 % Propylene,0.4064,38.47507331,1.004,0.822,39.21
173,12:11:46,12:15:20,75 % Propylene,0.4064,36.07038123,0.941,0.77,39.21
173,12:11:46,12:15:20,75 % Propylene,0.4064,33.66568915,0.878,0.719,39.21
173,12:11:46,12:15:20,75 % Propylene,0.4064,31.26099707,0.816,0.668,39.21
173,12:11:46,12:15:20,75 % Propylene,0.4064,40.8797654,1.067,0.873,38.27
173,12:11:46,12:15:20,75 % Propylene,0.4064,43.28445748,1.129,0.924,38.27
173,12:11:46,12:15:20,75 % Propylene,0.4064,44.72727273,1.167,0.955,38.27
173,12:23:30,12:25:48,75 % Propylene,0.4064,23.5659824,0.615,0.503,60.84
173,12:23:30,12:25:48,75 % Propylene,0.4064,22.60410557,0.59,0.483,60.84
173,12:23:30,12:25:48,75 % Propylene,0.4064,21.64222874,0.565,0.462,60.84
173,12:23:30,12:25:48,75 % Propylene,0.4064,20.68035191,0.54,0.442,60.84
173,12:23:30,12:25:48,75 % Propylene,0.4064,18.75659824,0.489,0.401,59.9
173,12:23:30,12:25:48,75 % Propylene,0.4064,17.31378299,0.452,0.37,60.84
173,12:39:29,12:41:18,75 % Propylene,0.762,65.40762463,1.707,1.397,39.21
173,12:39:29,12:41:18,75 % Propylene,0.762,70.2170088,1.832,1.499,39.21
173,12:39:29,12:41:18,75 % Propylene,0.762,75.02639296,1.958,1.602,38.27
173,12:39:29,12:41:18,75 % Propylene,0.762,76.95014663,2.008,1.643,38.27
174,10:02:10,10:03:02,75 % Propylene,0.762,0,0,0,28.87
174,10:33:23,10:34:43,Propylene,1.6002,12.3,0.35,0.35,20.41
174,10:33:23,10:34:43,Propylene,1.6002,18.45,0.525,0.525,20.41
174,10:45:25,10:46:38,Propylene,1.6002,12.3,0.35,0.35,20.41
174,10:45:25,10:46:38,Propylene,1.6002,18.45,0.525,0.525,20.41
174,10:45:25,10:46:38,Propylene,1.6002,20.5,0.584,0.584,20.41
174,10:48:31,10:49:13,Propylene,1.6002,10.66,0.304,0.304,10.07
174,10:48:31,10:49:13,Propylene,1.6002,13.94,0.397,0.397,10.07
174,11:04:43,10:05:20,Propylene,1.6002,17.22,0.49,0.49,29.81
174,11:04:43,10:05:20,Propylene,1.6002,23.37,0.665,0.665,29.81
174,11:04:43,10:05:20,Propylene,1.6002,24.6,0.701,0.701,29.81
174,11:13:17,11:15:07,Propylene,1.6002,38.95,1.109,1.109,58.02
174,11:13:17,11:15:07,Propylene,1.6002,34.85,0.992,0.992,56.14
174,11:13:17,11:15:07,Propylene,1.6002,38.95,1.109,1.109,56.14
174,11:20:47,11:22:52,Propylene,1.6002,6.15,0.175,0.175,47.67
174,11:20:47,11:22:52,Propylene,1.6002,12.3,0.35,0.35,47.67
174,11:20:47,11:22:52,Propylene,1.6002,18.45,0.525,0.525,47.67
174,11:20:47,11:22:52,Propylene,1.6002,24.6,0.701,0.701,46.73
174,11:20:47,11:22:52,Propylene,1.6002,30.75,0.876,0.876,46.73
174,11:20:47,11:22:52,Propylene,1.6002,37.31,1.062,1.062,46.73
174,11:24:30,11:25:53,Propylene,1.6002,26.65,0.759,0.759,57.08
174,11:24:30,11:25:53,Propylene,1.6002,26.65,0.759,0.759,53.32
174,11:24:30,11:25:53,Propylene,1.6002,26.65,0.759,0.759,45.79
174,11:24:30,11:25:53,Propylene,1.6002,26.65,0.759,0.759,34.51
174,11:34:16,11:36:01,Propylene,0.4064,47.56,1.354,1.354,24.17
174,11:34:16,11:36:01,Propylene,0.4064,53.71,1.529,1.529,23.23
174,11:34:16,11:36:01,Propylene,0.4064,57.81,1.646,1.646,23.23
174,11:34:16,11:36:01,Propylene,0.4064,59.45,1.693,1.693,23.23
174,11:34:16,11:36:01,Propylene,0.4064,61.5,1.751,1.751,23.23
174,11:38:05,11:39:20,Propylene,0.4064,41.41,1.179,1.179,12.89
174,11:38:05,11:39:20,Propylene,0.4064,47.56,1.354,1.354,12.89
174,11:38:05,11:39:20,Propylene,0.4064,51.25,1.459,1.459,11.95
174,11:38:05,11:39:20,Propylene,0.4064,54.53,1.553,1.553,11.95
174,11:46:06,11:48:15,Propylene,0.4064,12.3,0.35,0.35,11.01
174,11:46:06,11:48:15,Propylene,0.4064,20.5,0.584,0.584,11.01
174,11:46:06,11:48:15,Propylene,0.4064,29.11,0.829,0.829,11.01
174,11:46:06,11:48:15,Propylene,0.4064,36.9,1.051,1.051,11.01
174,11:46:06,11:48:15,Propylene,0.4064,45.1,1.284,1.284,10.07
174,11:46:06,11:48:15,Propylene,0.4064,53.3,1.518,1.518,10.07
174,11:46:06,11:48:15,Propylene,0.4064,61.5,1.751,1.751,10.07
174,11:50:17,11:53:45,Propylene,0.4064,29.93,0.852,0.852,35.45
174,11:50:17,11:53:45,Propylene,0.4064,36.08,1.027,1.027,34.51
174,11:50:17,11:53:45,Propylene,0.4064,38.95,1.109,1.109,34.51
174,11:50:17,11:53:45,Propylene,0.4064,41,1.168,1.168,35.45
174,11:50:17,11:53:45,Propylene,0.4064,45.1,1.284,1.284,35.45
174,11:50:17,11:53:45,Propylene,0.4064,49.2,1.401,1.401,35.45
174,11:50:17,11:53:45,Propylene,0.4064,55.35,1.576,1.576,35.45
174,11:50:17,11:53:45,Propylene,0.4064,57.4,1.635,1.635,35.45
174,11:50:17,11:53:45,Propylene,0.4064,62.32,1.775,1.775,34.51
174,11:50:17,11:53:45,Propylene,0.4064,63.55,1.81,1.81,34.51
174,11:50:17,11:53:45,Propylene,0.4064,67.65,1.926,1.926,34.51
174,12:06:43,12:07:42,Propylene,0.4064,84.87,2.417,2.417,46.73
174,12:11:20,12:11:42,Propylene,0.4064,60.68,1.728,1.728,56.14
174,12:34:00,12:35:03,Propylene,0.762,18.45,0.525,0.525,24.17
174,12:34:00,12:35:03,Propylene,0.762,25.01,0.712,0.712,24.17
174,12:34:00,12:35:03,Propylene,0.762,29.11,0.829,0.829,24.17
174,12:36:12,12:36:06,Propylene,0.762,10.25,0.292,0.292,13.83
174,12:36:12,12:36:06,Propylene,0.762,16.4,0.467,0.467,12.89
174,12:36:12,12:36:06,Propylene,0.762,19.68,0.56,0.56,12.89
174,12:43:03,12:44:27,Propylene,0.762,43.05,1.226,1.226,51.43
174,12:43:03,12:44:27,Propylene,0.762,47.15,1.343,1.343,51.43
174,12:43:03,12:44:27,Propylene,0.762,34.85,0.992,0.992,50.49
174,12:46:17,12:48:10,Propylene,0.762,8.2,0.234,0.234,32.63
174,12:46:17,12:48:10,Propylene,0.762,14.35,0.409,0.409,32.63
174,12:46:17,12:48:10,Propylene,0.762,20.5,0.584,0.584,32.63
174,12:46:17,12:48:10,Propylene,0.762,26.65,0.759,0.759,32.63
174,12:46:17,12:48:10,Propylene,0.762,32.8,0.934,0.934,31.69
174,12:46:17,12:48:10,Propylene,0.762,38.95,1.109,1.109,31.69
