GMT date,GMT ignition,GMT  Flame Off ,Fuel,Nozzle (mm),Fuel Rate (sccm),Fuel Rate (mg/s),HC Fuel Rate (mg/s),Air Rate (cm/s)
52,12:42:47,12:44:26,Propane,0.4064,93.24,2.782,2.782,16.65
52,12:42:47,12:44:26,Propane,0.4064,45,1.343,1.343,15.71
52,12.42.47,,Propane,0.4064,93.24,2.782,2.782,16.65
52,12.42.47,,Propane,0.4064,45,1.343,1.343,15.71
52,13:02:02,13:03:20,Propane,1.6002,78.84,2.352,2.352,38.27
52,13:02:02,13:03:20,Propane,1.6002,37.8,1.128,1.128,37.33
52,13.02.02,13.03.20,Propane,1.6002,78.48,2.342,2.342,37.33
52,13.02.02,13.03.20,Propane,1.6002,,,0,
52,13:04:25,13:06:11,Propane,1.6002,111.6,3.33,3.33,66.48
52,13:04:25,13:06:11,Propane,1.6002,55.8,1.665,1.665,66.48
52,13.04.25,13.06.12,Propane,1.6002,111.6,3.33,3.33,66.48
52,13.04.25,13.06.12,Propane,1.6002,55.8,1.665,1.665,66.48
52,16:09:00,16:10:53,75% Propylene,1.6002,23.08504399,0.602,0.493,12.89
52,no ku,16.10.43,75 % Propylene,1.6002,22.60410557,0.59,0.483,12.89
52,no ku,16.10.43,75 % Propylene,1.6002,11.06158358,0.289,0.236,12.89
52,16.14.05,16.15.30,75 % Propylene,1.6002,58.19354839,1.519,1.243,64.6
52,16.14.05,16.15.30,75 % Propylene,1.6002,29.81818182,0.778,0.637,65.54
52,16.22.17,16.24.00,75 % Propylene,1.6002,33.18475073,0.866,0.709,29.81
52,16.22.17,16.24.00,75 % Propylene,1.6002,37.9941349,0.991,0.811,28.87
52,16.22.17,16.24.00,75 % Propylene,1.6002,15.87096774,0.414,0.339,29.81
52,Ku              LOS,16.27.16,75 % Propylene,1.6002,,,0,
52,Ku              LOS,16.27.16,75 % Propylene,1.6002,,,0,
52,Ku              LOS,16.27.16,75 % Propylene,1.6002,63.00293255,1.644,1.345,50.49
52,17:10:12,17:12:12,75% Propylene,0.762,14.42815249,0.376,0.308,11.95
52,17:10:12,17:12:12,75% Propylene,0.762,33.66568915,0.878,0.719,11.95
52,17:10:12,17:12:12,75 % Propylene,0.762,30.78005865,0.803,0.657,11.95
52,17:10:12,17:12:12,75 % Propylene,0.762,14.90909091,0.389,0.318,11.95
52,17:25:47,17:27:57,75% Propylene,0.762,65.40762463,1.707,1.397,61.78
52,17:25:47,17:27:57,75% Propylene,0.762,32.70381232,0.853,0.698,60.84
52,17:25:47,17:27:57,75% Propylene,0.762,71.17888563,1.857,1.52,59.9
52,17.25.49,17.27.58,75 % Propylene,0.762,65.88856305,1.719,1.407,61.78
52,17.25.49,17.27.58,75 % Propylene,0.762,32.70381232,0.853,0.698,60.84
52,17.25.49,17.27.58,75 % Propylene,0.762,71.17888563,1.857,1.52,59.9
52,17:30:17,17:31:15,75% Propylene,0.762,45.20821114,1.18,0.965,37.33
52,17:30:17,17:31:15,75% Propylene,0.762,22.12316716,0.577,0.472,37.33
52,17:30:17,17:31:15,75% Propylene,0.762,61.5601173,1.606,1.315,37.33
52,17.30.18,17.31.15,75 % Propylene,0.762,45.20821114,1.18,0.965,38.27
52,17.30.18,17.31.15,75 % Propylene,0.762,21.64222874,0.565,0.462,37.33
52,17.30.18,17.31.15,75 % Propylene,0.762,61.5601173,1.606,1.315,37.33
52,17:47:11,17:48:49,75% Propylene,0.4064,44.24633431,1.155,0.945,13.83
52,17:47:11,17:48:49,75% Propylene,0.4064,23.08504399,0.602,0.493,13.83
52,17.47.12,17.48.49,75 % Propylene,0.4064,44.24633431,1.155,0.945,13.83
52,17.47.12,17.48.49,75 % Propylene,0.4064,22.60410557,0.59,0.483,13.83
52,17.47.12,17.48.49,75 % Propylene,0.4064,44.24633431,1.155,0.945,13.83
52,17:50:49,17:52:54,75% Propylene,0.4064,27.41348974,0.715,0.585,41.09
52,17:50:49,17:52:54,75% Propylene,0.4064,12.98533724,0.339,0.277,41.09
52,17.50.49,17.52.55,75 % Propylene,0.4064,26.4516129,0.69,0.565,41.09
52,17.50.49,17.52.55,75 % Propylene,0.4064,27.41348974,0.715,0.585,41.09
52,17.50.49,17.52.55,75 % Propylene,0.4064,12.98533724,0.339,0.277,41.09
52,17.50.49,17.52.55,75 % Propylene,0.4064,27.41348974,0.715,0.585,41.09
52,17.50.49,17.52.55,75 % Propylene,0.4064,27.41348974,0.715,0.585,41.09
52,17:58:09,17:00:27,75% Propylene,0.4064,12.50439883,0.326,0.267,66.48
52,17:58:09,18:00:27,75% Propylene,0.4064,6.252199413,0.163,0.134,66.48
52,17:58:09,18:00:27,75% Propylene,0.4064,10.58064516,0.276,0.226,66.48
52,17.58.10,18.00.27,75 % Propylene,0.4064,6.73313783,0.176,0.144,67.42
52,17.58.10,18.00.27,75 % Propylene,0.4064,12.50439883,0.326,0.267,66.48
52,17.58.10,18.00.27,75 % Propylene,0.4064,6.252199413,0.163,0.134,66.48
52,17.58.10,18.00.27,75 % Propylene,0.4064,9.618768328,0.251,0.205,85.28
52,17.58.10,18.00.27,75 % Propylene,0.4064,10.58064516,0.276,0.226,66.48
52,17.58.10,18.00.27,75 % Propylene,0.4064,11.54252199,0.301,0.246,66.48
55,8:56:16,8:58:32,50 % Propylene,1.6002,55.24822695,1.31,0.786,10.07
55,8:56:16,8:58:32,50 % Propylene,1.6002,27.33333333,0.648,0.389,10.07
55,8:56:16,8:58:32,50 % Propylene,1.6002,69.20567376,1.641,0.985,10.07
55,8:56:16,8:58:32,50 % Propylene,1.6002,47.68794326,1.131,0.679,10.07
55,8:56:16,8:58:32,50 % Propylene,1.6002,55.24822695,1.31,0.786,10.07
55,8:56:16,8:58:32,50 % Propylene,1.6002,27.91489362,0.662,0.397,10.07
55,8:56:16,8:58:32,50 % Propylene,1.6002,69.20567376,1.641,0.985,10.07
55,9:00:26,9:02:11,50 % Propylene,1.6002,92.46808511,2.193,1.316,57.08
55,9:00:26,9:02:11,50 % Propylene,1.6002,43.61702128,1.034,0.621,57.08
55,9:00:26,9:02:11,50 % Propylene,1.6002,107.0070922,2.537,1.523,57.08
55,9:00:26,9:02:11,50 % Propylene,1.6002,91.88652482,2.179,1.308,57.08
55,9:00:26,9:02:11,50 % Propylene,1.6002,43.61702128,1.034,0.621,57.08
